Rarity,Item,Effect/Description
Common,Bandage,"can heal but not a lot (20% heal)"
Common,Rock,"it’s a rock"
Common,Wooden plank,"it’s wood, might be useful."
Common,String,"it’s string"
Common,Dust,"How did you even collect this???"
Common,Paper,"another tree.. GONE.."
Common,Folders,"What a nice folder! It’s all filled with some cool research…"
Common,Unknown meat,"No one knows where this is from (???)"
Common,Lizard,"you sure you really want to eat that? (???)"
Common,Rat,"Bro you’re not that desperate to eat are you? (???)"
Common,Still water,"are you sure about that? (-20% health, Death after day)"
Common,Cans,"Made of tin."
Common,Ammo,"it is what it is."
Common,Rope,"it’s a rope"

Rare,Bone,"uh oh"
Rare,Scissors,"who knows what you’re gonna do with this (adds bleed to physical damage)(only lootable one time)"
Rare,Tape,"might be useful (prevents bleeds)"
Rare,Medkit,"can heal anyone. (+35% heal)"
Rare,Tourniquet,"stops bleeding (12% heal, removes bleed and arterial bleed)"
Rare,Flask of who knows what’s inside,"it was found in one of the sub laboratories (Full heal)"
Rare,Flask with unknown contents,"it was found in one of the sub laboratories (-35% health)"
Rare,Flask with questionable contents,"it was found in one of the sub laboratories (-3 sanity)"
Rare,Apple,"it’s an apple a day keeps you alive. (+10% hunger, +15% thirst, Sanity +1)"
Rare,Crackers,"it’s better than nothing. (+12% hunger)"
Rare,Water bottle,"Water is lloyd, Water is good. (+30% hydration)"
Rare,Canned rations (rusty, old),"It’s better than nothing at all. (+30% hunger)"
Rare,Batteries,"to get the flashlight and radio to work. (Can extend flashlight’s use, no effect on radio yet)"

Epic,Scientist’s Guitar,"Owner took really good care of it, even has a capo… (2 use per day, +1 sanity per use.)"
Epic,Water Jug,"This is for EXTREME thirst. (+80% hydration, 3 usage)"
Epic,Canned rations (rusty, old),"It’s better than nothing at all. (+60% hunger)"
Epic,Notebook,"can write down thoughts to at least be sane (+5 sanity)"
Epic,Sanity pill,"makes you not go crazy (+4 sanity)"
Epic,Bread,"woah you sure this is still good to eat? (+)"
Epic,Vodka,"It’s russian water (-5% Hydration, +Full sanity, gets rid of morale debuff)"
Epic,Flashlight,"only good for 3 tiles — Makes it easier to see in the dark (explore tile without triggering combat or loot)"
Epic,Radio,"To get updates (Unfinished item)"
Epic,Soda can,"Dang where did you get this? (+35% hydration)"

Legendary,Rice,"struggle meal essentials! (+80% hunger)"
Legendary,Funny bone,"How’d this get here?"
Legendary,Trauma kit,"cheesy ahh item, lucky you… (Full heal, clear status effects)"
Legendary,MRE,"Meal Ready To Eat — full course meal ready to eat! (full hunger)"
Legendary,Incendiary ammo,"things are about to get heated! (adds fire dmg to bullet damage)"
Legendary,Hollow-point ammo,"Are these even legal here…? (adds bleed and cripple status to bullet damage)"
